曲管理番号	バージョン	曲名	Diff	Lv
539	PENDUAL	時空トラベローグ	A	11
540	Sparkle Shower	閃と雷管とロープ	A	11
541	tricoro	創世ノート	A	11
542	PENDUAL	打打打打打打打打打打	A	11
543	Sparkle Shower	タンポポ	A	11
544	RESIDENT	ちょえちょえまぎか	A	11
545	copula	追想快晴テーマパーク	A	11
546	CastHour	月とミルク	A	11
547	Sparkle Shower	Τέλος	A	11
548	EMPRESS	天空脳番長危機十六連打	A	11
549	SPADA	デッドボヲルdeホームラン	A	11
550	BISTROVER	涙のテ・エストラーニョ・ムーチョ	A	11
551	HEROIC VERSE	眠りの国のステラ	A	11
552	CastHour	ハイテックトキオ	A	11
553	BISTROVER	儚き恋の華	A	11
554	Pinky Crush	爆ぜりゃんせ	A	11
555	Rootage	ハードベース・フェスタ	A	11
556	Rootage	爆ゼニ☆がってんワーカー	A	11
557	CANNON BALLERS	バ→ビ→ブ→Bomb!	A	11
558	SPADA	バンブーソード・ガール	A	11
559	PENDUAL	パ→ピ→プ→Yeah!	A	11
560	CANNON BALLERS	パラドキシカル・タイムリープトライアル(Short Ver.)	A	11
561	RESIDENT	パーフェクトイーター	A	11
562	Pinky Crush	ファイナルレター	A	11
563	SINOBUZ	冬椿 ft. Kanae Asaba	L	11
564	PENDUAL	ぷろぐれっしぶ時空少女！うらしまたろ子ちゃん！	A	11
565	HEROIC VERSE	曼荼羅恋々	A	11
566	Rootage	ミッドナイト☆WAR	A	11
567	EMPRESS	ミッドナイト堕天使	A	11
568	PENDUAL	もっと！モット！ときめき feat. 松下	A	11
569	Resort Anthem	夕焼け ～Fading Day～	A	11
570	EPOLIS	夢縁	A	11
571	HEROIC VERSE	ランカーキラーガール	A	11
572	Rootage	龍王の霊廟(Mausoleum Of The Primal Dragon)	A	11
573	tricoro	龍と少女とデコヒーレンス	A	11
574	copula	量子の海のリントヴルム	A	11
575	RESIDENT	輪廻の鴉	A	11
576	Sparkle Shower	煉獄コンフィチュール	A	11
577	RESIDENT	惑星☆ロリポップ	A	11
578	IIDX RED	AA	A	12
579	CANNON BALLERS	AA -rebuild-	A	12
580	EPOLIS	ACTØ	A	12
581	RESIDENT	Always We Trust In You	A	12
582	EPOLIS	Ambivalent Vermilia	A	12
583	Sparkle Shower	Amor∞Fati	A	12
584	SPADA	Ancient Scapes	A	12
585	SPADA	Ancient Scapes	L	12
586	CastHour	Angel's Ladder	A	12
587	CANNON BALLERS	Antigravity	A	12
588	SINOBUZ	Apocalypse	A	12
589	Pinky Crush	Aqvion	A	12
590	EMPRESS	Arabian Rave Night	L	12
591	CastHour	Arkadia	A	12
592	HEROIC VERSE	Artist	A	12
593	BISTROVER	ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS)	A	12
594	RESIDENT	B.O.D.Y.	A	12
595	Sparkle Shower	Begin	A	12
596	Sparkle Shower	BitRacer	A	12
597	BISTROVER	BLACK or WHITE?	A	12
598	EPOLIS	BLAZING_LAZER	A	12
599	Pinky Crush	Bring The Fire	A	12
600	PENDUAL	Broken Sword	A	12
601	BISTROVER	Burning Flame	L	12
602	EPOLIS	CADENZA	A	12
603	GOLD	Candy Galy	A	12
604	Rootage	Carry Me Away	A	12
605	Rootage	Catch Our Fire!	A	12
606	CANNON BALLERS	ChaserXX	L	12
607	SPADA	Close the World feat.a☆ru	A	12
608	SPADA	Close the World feat.a☆ru	L	12
609	copula	CODE:1 [revision1.0.1]	A	12
610	BISTROVER	COSMIC RAY	A	12
611	Pinky Crush	COSMIC V3LOCITY	A	12
612	Pinky Crush	Cross Fire	A	12
613	RESIDENT	CUE CUE RESCUE	L	12
614	Rootage	dAuntl3ss	A	12
615	CANNON BALLERS	DEADHEAT	A	12
616	CANNON BALLERS	DEATH†ZIGOQ ～怒りの高速爆走野郎～	A	12
617	EPOLIS	Demon March	A	12
618	Pinky Crush	destination	A	12
