TITLE	NOTE(SP)					NOTE(DP)				TIME	MOVIE	LAYER
	B	N	H	A	L	N	H	A	L			
beatmania IIDX ▼ △												
SPEED DEMON	-	379	736	1198	-	422	731	1266	-	1:58	CANNON BALLERS RACING汎用+レイヤー	BEMANI Designers "ちっひ"
STARLIGHT JUNCTION	-	454	816	1150	1462	415	791	1211	1492	2:01	CANNON BALLERS RACING汎用+レイヤー	BEMANI Designers "VJ GYO"
Static State	-	540	912	1218	-	521	882	1196	-	2:02	専用:Seventhgraphics	
Temple of Anubis	-	517	781	1345	-	549	909	1332	-	2:12	CANNON BALLERS RACING汎用	
THE CANNONBALLER	244	770	1236	1748	-	753	1299	1807	-	2:13	CANNON BALLERS RACING汎用+レイヤー	BEMANI Designers "VJ GYO"
The Chase	-	359	710	1148	-	372	737	1142	-	1:58	CANNON BALLERS RACING汎用	
UMMU	220	626	1083	1587	-	673	1127	1614	-	2:02	tricoro CYBER汎用	
Usual Days-remix	-	558	764	1364	-	725	1147	1474	-	1:53	専用:かーる / tam / アオニサイ	
Xperanza	276	701	1238	1637	-	690	1141	1698	-	2:05	専用:Nakasima	
1001 -ESCAPE-	-	524	866	1327	-	538	851	1333	-	2:05	PENDUAL FUTURE汎用	
255	-	469	823	1676	-	564	953	1590	-	1:50	6th RAVE汎用	
命の標本	-	372	864	1358	-	372	846	1275	-	2:02	専用:BEMANI Designers "かーる"	
うさ☆かめ 大戦争！	-	487	836	1276	-	479	809	1257	-	1:57	専用:BEMANI Designers "菌類"	
エディブルフラワーの独白	-	411	795	1110	-	414	779	1174	-	2:01	10th POPS汎用+ミスレイヤー	BEMANI Designers "mayo"
共犯ヘヴンズコード	-	258	704	1149	-	267	697	1141	-	1:55	専用:ダンエボスタッフ	
シムルグの目醒め	-	717	1211	1822	-	766	1293	1815	-	2:05	6th HOUSE汎用+レイヤー	BEMANI Designers "かーる"
神謳 -RESONANCE-	-	702	1285	2047	-	725	1356	2052	-	2:11	Lincle CYBER汎用	
純真可憐デザイア	127	422	824	1172	1498	450	817	1124	1508	2:05	専用:BEMANI Designers "NAGI"	
草原の王女-軌跡を辿って-	-	352	629	1172	-	433	722	1127	-	1:51	専用:BEMANI Designers "とっきー"	
東京神話	235	528	914	1505	-	500	906	1533	-	1:56	専用+ミスレイヤー:BEMANI Designers "NAGI"	
ナイトシティー・アヴァンチュール	-	521	774	1047	-	511	774	1139	-	2:06	7th HOUSE汎用+ミスレイヤー	BEMANI Designers "kaeru"
ハイ*ビスカス ft. Kanae Asaba	-	438	784	1233	-	531	772	1303	-	2:07	専用:BEMANI Designers "かーる"	
バスルーム ロマンス	-	492	744	1228	-	494	752	1204	-	1:59	SINOBUZ POPS汎用+ミスレイヤー	BEMANI Designers
バ→ビ→ブ→Bomb!	-	422	923	1294	-	431	939	1297	-	1:59	CANNON BALLERS RACING汎用	
パラドキシカル・タイムリープトライアル(Short Ver.)	-	529	997	1416	-	522	1013	1515	-	2:02	SINOBUZ POPS汎用	
ラストセンチュリーメランコリック	-	430	822	1108	-	434	863	1105	-	2:09	専用:Taiyo Yamamoto	
beatmania IIDX 26 Rootage ▲ ▼ △												
Afterimage d'automne	-	519	879	1480	-	525	913	1554	-	2:01	GOLD TRANCE汎用	
BLACK JACKAL	-	428	812	1183	-	428	813	1138	-	1:58	Rootage TECHNO汎用	
BLO§OM	-	550	843	1290	-	546	815	1316	-	2:04	10th HOUSE汎用	
Carmina	266	683	1292	2000	-	701	1273	2000	-	2:07	Rootage CYBER汎用+レイヤー	BEMANI Designers "NAGI"
Carry Me Away	268	575	933	1613	-	595	957	1568	-	2:00	tricoro CYBER汎用	
Catch Our Fire!	-	699	1186	1885	-	691	1198	1888	-	2:03	専用:BEMANI Designers "いそにん"	
CODE:Ø	-	726	1120	1454	1829	738	1086	1382	1906	2:03	専用:BEMANI Designers "KINRUI"	
CoMAAAAAAA	-	643	1068	1208	1957	640	1151	1304	1972	2:04	専用:VJ Routes	
COSMIC CYBER	-	524	862	1469	-	531	835	1325	-	1:50	専用:magarikado	
Cranberry City ft. Luschel	-	433	816	1234	-	447	792	1272	-	2:08	7th HOUSE汎用	
dAuntl3ss	-	542	1018	1775	-	584	1157	1770	-	2:06	専用:Seventhgraphics	
Dr. Chemical & Killing Machine	-	567	964	1700	-	586	978	1919	-	2:00	Rootage TECHNO汎用	
Drastic Dramatic	-	800	1231	1765	-	782	1253	1736	-	1:59	10th POPS汎用+レイヤー	BEMANI Designers "kyunkyun"
DRUNK MONKY	-	524	833	1177	-	593	862	1104	-	1:21	6th RAVE汎用	
Ember Lights	-	491	842	1369	1582	530	863	1296	1600	2:01	専用:Hanamori Hiro	
EVANESCENT	-	661	1241	1845	-	660	1174	1820	-	2:02	10th HOUSE汎用	
Garuda	-	541	842	1323	-	541	876	1319	-	1:44	SIRIUS CYBER汎用	
Geirskögul	-	545	808	1128	-	555	745	1122	-	2:07	専用:murAta Yuzi	
GENE	-	664	1009	2183	-	659	990	1986	-	※	専用:BEMANI Designers "NAGI"*6	
GIGA THRASH	-	643	970	1400	-	662	1002	1503	-	2:04	専用:Lynx	
Glory	-	390	855	1185	-	376	838	1168	-	2:05	専用:BEMANI Designers "minoru"	
GO OVER WITH GLARE -ROOTAGE 26-	-	548	1160	2000	-	558	1129	1769	-	2:02	専用:IIDX Designers "GOLI、VJ GYO、HES、NAGI"	
HARD BRAIN	-	701	1044	1914	-	706	1095	1903	-	2:08	SIRIUS CYBER汎用	
HEISEI	190	590	992	1291	-	581	1033	1323	-	2:05	専用:Taiyo Yamamoto	
Hurry Hurry	-	380	527	1045	-	379	527	1032	-	1:59	専用:Minako Endo	
IDC feat.REVERBEE (Mo'Cuts Ver)	-	557	818	1145	-	553	779	1017	-	2:01	専用:cap	
IDOL syndrome.	-	382	738	1109	1533	397	720	1183	1567	2:07	PENDUAL FUTURE汎用+ミスレイヤー	BEMANI Designers "NAGI"
KILL EACH OTHER	-	711	1270	1945	-	713	1248	1889	-	2:15	Rootage TECHNO汎用+レイヤー	BEMANI Designers "NAGI"
L.F.O	-	444	898	1687	-	448	847	1697	-	2:08	専用:pam, Ta-k	
LADYBIRD	-	572	865	1258	-	601	894	1253	-	1:48	10th POPS汎用+レイヤー	BEMANI Designers "ちっひ"
Let me be your cure	-	573	718	1344	-	631	879	1354	-	2:16	GOLD TRANCE汎用	
Lethal Weapon	-	598	961	1646	-	597	1053	1684	-	2:01	専用:BEMANI Designers "HES"+レイヤー	BEMANI Designers "NAGI"
Level One	-	647	1182	1857	-	750	1149	1872	-	2:11	専用:murAta Yuzi	
Lift Us High	-	494	808	1247	-	490	777	1252	-	2:08	専用:BEMANI Designers "NANTOMO"	
LOST TECHNOLOGIE	-	590	984	1822	-	644	1009	1849	-	2:04	Rootage TECHNO汎用+ミスレイヤー	BEMANI Designers "mayo"
Mächö Mönky	-	754	1123	1588	-	643	1100	1522	-	2:00	5th DANCE汎用+レイヤー	BEMANI Designers "NAGI"
Necroxis Girl	-	601	1027	1441	-	558	962	1505	-	1:59	Lincle CYBER汎用	
Next Tales 2 Oath (IIDX 20th Anniv "Ring" Theme)	-	457	847	1387	-	519	820	1415	-	2:00	専用:Ringスタッフ	
Night! Night! Night!	-	609	931	1540	-	590	917	1486	-	2:02	PENDUAL FUTURE汎用+ミスレイヤー	BEMANI Designers "VJ GYO"
ONIGOROSHI	-	597	1107	1541	-	584	1107	1503	-	2:00	専用:BEMANI Designers "いそにん"	
OVER TIME	-	293	492	779	1013	262	556	841	1032	1:54	専用:BEMANI Designers "minoru"	
Painful Fate	-	642	1178	1702	-	683	1112	1677	-	2:09	tricoro TECHNO汎用+レイヤー	BEMANI Designers "T田"
Playing With Fire	-	512	866	1200	-	516	814	1113	-	1:45	PENDUAL FUTURE汎用	
Psycho Sheep Riddim	-	324	512	841	1150	330	509	842	1091	2:02	専用:Hanamori Hiro	
Red. by Jack Trance	-	770	1122	1862	-	735	1129	1612	-	2:03	Rootage TECHNO汎用	
REPLAY	-	478	840	1141	-	820	973	1505	-	2:12	専用:Noriaki Furuya	
ROCK女 feat. 大山愛未, Ken	-	548	954	1436	-	561	997	1435	-	2:04	5th DANCE汎用	
R∞tAge	273	565	850	1503	-	569	1058	1459	-	2:12	Rootage CYBER汎用+レイヤー	BEMANI Designers "GOLI"
ruin of opals	-	533	1016	1646	-	537	1012	1604	-	2:00	tricoro TECHNO汎用	
SPEED ROCKER	-	464	879	1175	-	491	874	1214	-	2:00	専用:Hiromitsu Kawasaki	
Technicolour Dreams	-	474	722	1202	-	454	708	1209	-	1:48	tricoro CYBER汎用	
The Best of Both Worlds	-	301	726	1128	-	303	732	1211	-	2:06	専用:yama_ko	
THE DAY OF JUBILATIONS	-	794	1234	1757	-	771	1223	1883	-	1:58	Lincle POPS汎用+レイヤー	BEMANI Designers "NAGI"
The Rebellion of Sequencer	-	646	1054	1634	-	640	1041	1628	-	1:56	Rootage TECHNO汎用+ミスレイヤー	BEMANI Designers "XTC"
toy boxer	-	390	725	1122	-	401	743	1149	-	1:48	copula TRANSPORT汎用	
ToyCube Pf.(RX-Ver.S.P.L.)	-	379	789	1153	-	575	1038	1395	-	2:06	10th AMBIENT汎用	
Trill auf G	-	586	1098	1670	-	577	1059	1610	-	2:01	Lincle POPS汎用+レイヤー	BEMANI Designers "VJ GYO"
Twilight Warp	-	483	741	1083	-	483	740	1110	-	2:07	6th HOUSE汎用	
Unbelief	-	570	1113	1675	-	661	1092	1716	-	2:03	SIRIUS CYBER汎用+ミスレイヤー	BEMANI Designers "Am"
UNDERWORLD HOLOGRAPHY	-	580	1081	1648	-	578	1138	1644	-	2:09	専用:BEMANI Designers "いそにん"	
Urban Constellations	-	362	771	1167	-	372	761	1261	-	2:01	専用:karekitsune	
Visterhv	-	642	1152	1869	-	637	1159	1782	-	2:03	専用:BEMANI Designers "NAGI"	
voltississimo	-	613	1135	1888	-	613	1146	1824	-	1:56	PENDUAL FUTURE汎用	
Wing of Hearts	-	567	916	1473	-	565	918	1477	-	2:15	Rootage CYBER汎用+レイヤー	BEMANI Desingers "Ortie"
Wolf 1061	-	516	872	1584	-	572	936	1514	-	2:06	専用:BEMANI Designers "ni-si"	
Wonderland	-	542	957	1393	-	533	901	1392	-	2:05	専用:Seventhgraphics	
XENON II ～TOMOYUKIの野望～	-	601	915	1523	-	609	911	1482	-	1:54	専用:BEMANI Designers "T田"	
Xlø	-	776	1304	1988	-	708	1304	1936	-	2:02	専用:karekitsune	
Yum Yum Jelly	-	398	799	1204	-	436	820	1236	-	1:57	専用:BEMANI Designers "まゆずみ"	
ZENDEGI DANCE	-	602	935	1393	-	587	922	1378	-	2:01	tricoro TECHNO汎用+レイヤー	BEMANI Designers "T田"
50th Memorial Songs -Beginning Story-	162	417	846	1378	-	433	867	1468	-	2:09	専用	
50th Memorial Songs -Flagship medley-	192	496	786	1157	-	481	785	1148	-	1:54	専用	
50th Memorial Songs -二人の時 ～under the cherry blossoms～-	283	621	834	1311	-	623	829	1317	-	2:06	専用	
50th Memorial Songs -The BEMANI History-	274	545	851	1348	-	628	889	1290	-	2:00	専用	
& Intelligence	-	594	1112	1623	-	603	1129	1600	-	2:03	専用:Taiyo Yamamoto	
おーまい！らぶりー！すうぃーてぃ！だーりん！	-	560	1009	1480	-	599	991	1480	-	2:03	SINOBUZ POPS汎用	
お菓子の王国	-	718	1191	2109	-	705	1225	2135	-	2:09	10th POPS汎用+レイヤー	BEMANI Designers "てふてふ"
X-DEN	-	861	1418	2220	-	896	1495	2220	-	※	専用+ミスレイヤー	BEMANI Designers "VJ GYO"
グラナダの風	-	414	637	954	-	426	642	985	-	1:52	専用:BEMANI Designers "Fukutomi_WAVE"	
金野火織の金色提言	-	643	1171	1630	-	640	1189	1676	-	2:02	専用:BEMANI Designers "NAGI"	
最小三倍完全数	-	469	921	1314	-	464	908	1414	-	1:48	SIRIUS CYBER汎用	
深愛のリグレット	-	399	605	1206	-	400	605	1129	-	2:08	10th AMBIENT汎用	
セカンドピアス	-	302	555	1015	-	300	504	1002	-	2:08	10th POPS汎用	
泰東ノ翠霞	-	252	384	914	-	276	470	1291	-	2:08	専用:諏訪間千晃, Ta‑k (synesthesia)	
抱きしめてモナムール	-	664	1189	2110	-	675	1212	2129	-	2:14	10th HOUSE汎用+レイヤー	BEMANI Designers "ちっひ"
夏の匂い。キミの残像。 ft. Kanae Asaba	-	347	777	1281	-	355	817	1348	-	2:12	専用:BEMANI Designers "なす"	
ハードベース・フェスタ	-	582	928	1447	-	562	966	1441	-	2:04	6th RAVE汎用+ミスレイヤー	BEMANI Designers "NAGI"
花冠 feat.Aikapin	-	513	869	1365	-	502	886	1366	-	2:06	6th HOUSE汎用+レイヤー	BEMANI Designers "壱&なす"
爆ゼニ☆がってんワーカー	-	639	993	1391	-	634	1009	1332	-	2:02	SINOBUZ POPS汎用+ミスレイヤー	BEMANI Designers "T田"
ミストレス・アンに花束を	-	293	518	718	-	279	465	709	-	1:51	専用:BEMANI Designers "kyunkyun"	
ミッドナイト☆WAR	-	414	800	1261	-	417	832	1311	-	1:53	専用:チームいちか	
龍王の霊廟(Mausoleum Of The Primal Dragon)	-	576	1190	1614	2023	577	1070	1599	2046	2:11	専用:BEMANI Desiners "いそにん"	
beatmania IIDX 27 HEROIC VERSE ▲ ▼ △												
Advent Infamous	-	508	843	1454	-	503	854	1430	-	2:01	専用:yama_ko	
AKASHIC BREAK	-	633	1243	1823	-	652	1177	1767	-	1:59	専用:alo	
And-RoiD	-	373	672	1008	-	384	682	985	-	1:48	Lincle CYBER汎用+レイヤー	BEMANI Designers "とっきー"
Artist	-	660	1243	1870	-	665	1252	1923	-	1:59	PENDUAL PRESENT汎用+レイヤー	BEMANI Designers "Ray"
Backyard Stars	-	540	844	1155	-	543	838	1222	-	1:56	Lincle POPS汎用+レイヤー	BEMANI Designers "蒼弐*アオニサイ"
BEAT PRISONER	-	629	1083	1844	-	628	1075	1752	-	1:54	専用:BEMANI Designers "KING"	
beatAffection	-	524	792	1341	-	522	730	1232	-	2:15	9th TECHNO汎用+レイヤー	BEMANI Designers "Kaito"
Beautiful Harmony (IIDX MIX)	-	452	870	1246	-	483	870	1269	-	2:11	6th HOUSE汎用	
Bow shock!!	-	408	986	1566	2176	417	974	1583	2170	2:07	Lincle POPS汎用+レイヤー	BEMANI Designers "oku"
Calvados Queen	-	502	777	1245	-	500	760	1244	-	2:06	Lincle CYBER汎用+レイヤー	BEMANI Designers "蒼弐"
Change Yourself	-	493	890	1288	-	462	833	1260	-	1:59	専用:BEMANI Designers "菌類"	
Crank It	-	393	731	1228	-	401	737	1164	-	2:00	Rootage TECHNO汎用+レイヤー	BEMANI Designers "Ray"
Dans la nuit de l'éternité	-	718	1153	1830	-	714	1128	1850	-	2:07	SPADA HARDCORE汎用+レイヤー	BEMANI Designers "チャーム・シスターズ（あねじゃ）"
Do What You Want	-	352	644	1027	-	351	688	1085	-	1:43	PENDUAL PRESENT汎用	
Double Dribble	-	654	1009	1683	-	600	1057	1874	-	2:04	専用:mori-flo	
EROICA	-	703	1193	2040	-	702	1213	2363	-	2:02	専用:BEMANI Designers "GOLI"	
Everlasting Message	-	638	1197	1970	-	619	1149	1781	-	1:57	GOLD HOUSE汎用	
fairy cocktail	-	230	559	828	-	230	567	861	-	1:59	専用:yama_ko	
Fly Above (Vicissitude Remix)	-	444	778	1200	-	453	826	1244	-	1:59	6th HOUSE汎用	
Forgetting Machine	-	366	634	868	-	358	620	826	-	1:42	SINOBUZ POPS汎用	
Friction[!]Function	-	560	911	1634	-	553	1008	1546	-	2:02	専用:Minako Endo	
GHOST	-	425	767	1403	-	418	749	1354	-	1:58	専用:BEMANI Designers "KING"	
GIGA VIOLATE	-	565	833	1392	-	547	827	1445	-	1:56	専用:magarikado	
Hold My Hand	-	472	855	1247	-	424	809	1264	-	2:03	Lincle POPS汎用	
Hyper Drive feat. ぷにぷに電機	-	335	775	1000	-	339	761	1000	-	2:00	専用:BEMANI Designers "まゆずみ"	
If	-	398	689	959	-	394	690	969	-	1:50	Lincle POPS汎用	
Inferno of Fomalhaut	-	523	980	1701	-	531	967	1723	-	2:03	tricoro TECHNO汎用+ミスレイヤー	BEMANI Designers "Fukutomi Wave"
Infinity Mirror	-	436	709	1164	-	422	729	1303	-	2:08	専用:Hiromitsu Kawasaki	
Into The Madness	-	508	821	1286	-	539	806	1276	-	1:57	Rootage TECHNO汎用	
LASER CRUSTER (IGNITE REMIX)	-	399	908	1824	-	380	848	1700	-	2:06	Lincle CYBER汎用	
Level 2	-	484	886	1488	-	500	933	1556	-	2:01	専用:Yoshiaki Nakaichi	
LIGHTNING STRIKES	237	471	854	1639	2123	473	950	1763	2084	1:54	HEROIC VERSE POPS汎用+レイヤー	BEMANI Designers "KINRUI"
Like+it!	-	541	885	1197	-	505	871	1071	-	1:38	PENDUAL FUTURE汎用	
Lords Of The Roundtable	-	541	950	1586	-	567	838	1477	-	2:04	Rootage TECHNO汎用+レイヤー	BEMANI Designers "KING、Pendragon"
Lost Souls	-	358	857	1236	2000	349	820	1280	1938	1:47	専用+ミスレイヤー	BEMANI Designers "9-sphere、NAGI"
Matt Silver	-	598	1096	1707	-	545	1053	1705	-	2:01	専用:BEMANI Designers "まゆずみ"	
Megalara Garuda	-	764	1012	1543	-	764	1031	1503	-	1:53	PENDUAL FUTURE汎用	
Mel	-	396	767	1088	1373	405	713	1026	1353	2:03	10th POPS汎用+レイヤー	BEMANI Designers "てふてふ"
Moving on	-	525	979	1501	-	542	933	1480	-	2:00	専用:BEMANI Designers "KING、KINRUI"	
Nasty Techniques	-	496	854	1338	-	499	841	1290	-	2:08	専用:murAta Yuzi	
NEWALONE	-	303	662	1012	-	352	643	980	-	1:58	専用:Hanamori Hiro	
ORCA	-	681	1241	1795	-	673	1235	1789	-	2:00	PENDUAL FUTURE汎用	
OUTER PLANETS	-	340	716	1100	-	343	732	1104	-	2:02	専用:BEMANI Designers "Ray"	
Override	-	480	821	1471	2204	492	815	1445	2145	2:00	専用:Seventhgraphics	
PHASE SHIFT MANEUVER	-	638	886	1447	-	646	913	1429	-	2:04	PENDUAL FUTURE汎用+ミスレイヤー	BEMANI Designers "T田"
Primitive Vibes	298	587	1004	1564	-	589	1019	1534	-	2:01	専用:Routes	
Queen Kaguya	-	493	952	1330	-	506	892	1327	-	2:02	専用:Seventhgraphics	
Rainstorm	-	501	784	1146	-	485	775	1140	-	2:03	6th HOUSE汎用	
Rave Patroller	-	696	1189	1705	-	747	1289	1667	-	2:07	専用:Taiyo Yamamoto	
rough percussionythm	-	515	853	1295	-	523	866	1293	-	2:08	専用:BEMANI Designers "Kaito"	
S!ck (Nhato Remix)	-	506	830	1279	-	556	922	1313	-	1:58	Lincle CYBER汎用	
SCREW // owo // SCREW	-	567	1111	1567	-	568	1104	1542	-	2:00	専用:Hiromitsu Kawasaki	
Shiva	-	370	753	1085	-	347	726	1040	-	1:49	SIRIUS CYBER汎用	
Silly Love	131	406	716	1061	-	401	712	1051	-	2:00	専用:BEMANI Designers "いそにん"	
Ska-sh All Neurons!!	-	497	739	1176	-	502	692	1139	-	2:04	Lincle POPS汎用+レイヤー	BEMANI Designers "ぺぬ"
Smashing Wedge	-	492	1141	1957	-	555	1270	1969	-	2:01	専用+レイヤー	BEMANI Designers "ぺぬ"
Sparkle Smilin'	-	462	756	1243	-	456	746	1191	-	1:50	専用:チームいちか	
STOIC HYPOTHESIS	-	565	917	1442	-	560	919	1405	-	2:03	PENDUAL FUTURE汎用+レイヤー	BEMANI Designers "KINRUI"
Sugar Drippin'	-	391	701	1069	-	396	687	1129	-	1:58	Lincle POPS汎用	
T-REX vs Velociraptor (In the Far east euphoria)	-	712	943	1636	-	712	923	1607	-	1:57	専用:Taiyo Yamamoto	
take me higher	-	414	647	1015	-	419	648	959	-	1:53	10th HOUSE汎用	
TECHNO Style Essentials	-	516	833	1453	-	517	822	1506	-	1:54	10th HOUSE汎用	
THE BRAVE MUST DIE	-	721	1283	2075	-	778	1238	2086	-	2:09	Rootage TECHNO汎用+ミスレイヤー	BEMANI Designers "XTC"
THE F∀UST	-	691	1183	1851	-	701	1143	1838	-	2:07	PENDUAL FUTURE汎用+レイヤー	BEMANI Desingers "9-sphere"
The Sky of Sadness	-	444	767	1215	-	451	776	1296	-	1:52	GOLD TRANCE汎用	
Theory	-	412	745	1342	-	418	731	1309	-	2:03	SIRIUS CYBER汎用	
TRIUMPH	-	475	1019	1724	-	477	959	1691	-	1:58	専用:alo	
UNITE THE HEART	-	753	1319	1676	-	696	1259	1633	-	2:12	HEROIC VERSE POPS汎用	
VALKYRIAS -英雄誕生-	235	524	881	1386	-	531	919	1466	-	2:07	専用:BEMANI Designers "NAGI"	
VIBRΛ	-	472	666	941	-	475	670	1032	-	2:02	6th HOUSE汎用	
Vinculum stellarum	-	473	1229	1873	-	472	1190	1903	-	2:20	PENDUAL PRESENT汎用	
Virus Funk	-	397	785	1119	-	443	703	1009	-	2:01	専用:BEMANI Designers "アキ"	
Volcanic Dragon	-	548	914	1495	-	620	861	1412	-	2:06	PENDUAL FUTURE汎用	
Voo Doo Bamboleo	-	459	786	1262	-	472	809	1361	-	2:08	PENDUAL FUTURE汎用	
Ypsilon	-	567	913	1466	1801	579	896	1402	1796	2:02	Lincle CYBER汎用+レイヤー	
27th style	-	593	908	1299	-	623	907	1257	-	2:04	専用:BEMANI Designers "VJ GYO、KINRUI"	
華麗なる大犬円舞曲	-	710	1105	1849	-	712	1114	1835	-	2:07	HEROIC VERSE GOTHIC汎用+レイヤー	BEMANI Designers "NAGI"
がっつり陰キャ!? 怪盗いいんちょの億劫^^;	-	789	1399	2192	-	774	1390	2161	-	1:59	Lincle POPS汎用	
狂水一華	-	489	888	1370	-	493	896	1336	-	1:59	専用:チームいちか	
灼熱Beach Side Bunny (Masayoshi Iimori Remix)	-	336	583	933	-	335	594	941	-	1:55	8th POPS汎用	
シャムシールの舞	-	435	790	1294	-	435	798	1300	-	1:55	HEROIC VERSE GOTHIC汎用	
深淵に捧ぐレクイエム	-	431	843	1537	-	442	846	1456	-	1:58	HEROIC VERSE GOTHIC汎用	
セピアの軌跡 ft. 天宮みや(少女フラクタル)	191	404	739	1205	-	427	753	1223	-	2:05	専用:BEMANI Designers "KINRUI"	
眠りの国のステラ	-	594	946	1393	-	575	937	1405	-	2:03	HEROIC VERSE GOTHIC汎用	
バッドエンド・シンドローム	-	535	892	1497	-	491	940	1552	-	2:11	HEROIC VERSE GOTHIC汎用	
開きたまえ！Next stAge！	-	576	861	1463	-	556	1040	1473	-	2:01	Rootage CYBER汎用+レイヤー	BEMANI Designers "GOLI"
ピアノ協奏曲第1番”蠍火” (BlackY Remix)	-	521	1072	1926	-	610	1130	1937	-	2:13	PENDUAL PRESENT汎用	
曼荼羅恋々	-	561	894	1392	-	558	861	1344	-	2:03	専用:BEMANI Designers "T田"	
魅惑のYUMMYスイーツ	-	469	906	1586	-	472	861	1728	-	2:01	専用:BEMANI Designers "tef * tef"	
ラブキラ☆スプラッシュ	-	564	838	1267	-	517	758	1100	-	2:03	専用:チームいちか	
ランカーキラーガール	-	583	955	1479	-	604	903	1419	-	2:03	CANNON BALLERS RACING汎用	
錬成人間トリコロイダー	-	531	913	1613	-	531	902	1516	-	2:01	HEROIC VERSE POPS汎用+レイヤー	BEMANI Designers "VJ GYO"
beatmania IIDX 28 BISTROVER ▲ ▼ △												
ABSOLUTE (kors k Remix)	-	476	792	1336	-	475	819	1313	-	2:09	tricoro CYBER汎用	
Ah Hah Yeah	-	367	729	1108	-	363	728	1098	-	1:47	専用:BEMANI Designers "Kaito"	
AMRITA -不滅ノ花-	-	455	815	1398	-	455	806	1327	-	1:59	PENDUAL FUTURE汎用	
apo:llioth	-	615	1053	1498	-	616	1065	1511	-	2:10	PENDUAL FUTURE汎用	
As You Want	-	430	753	1246	-	437	750	1063	-	2:00	専用:はなけん	
"ASIAN VIRTUAL REALITIES
(MELTING TOGETHER IN DAZZLING DARKNESS)"	-	545	964	1752	-	568	949	1687	-	1:57	専用:BEMANI Designers "猫味蕎麦"	
BEMANI PRO LEAGUE Theme	-	393	712	996	-	495	717	1024	-	2:01	専用:BEMANI Design Team	
BIGソムタム	284	639	964	1688	-	720	1036	1714	-	2:01	CANNON BALLERS RACING汎用	
BLACK or WHITE?	317	655	1287	2013	-	715	1252	1960	-	2:01	SPADA HARDCORE汎用	
Burning Flame	-	609	935	1470	1938	586	925	1429	1944	1:58	Resort Anthem DANCE汎用+レイヤー	BEMANI Designers "HES"
Chewingood!!!	153	435	761	1317	-	446	780	1304	-	1:58	専用:BEMANI Designers "NAGI"	
COSMIC RAY	-	667	1130	1509	-	691	1122	1471	-	1:45	専用:magarikado	
Crazy Jackpot	-	506	848	1447	-	531	858	1429	-	1:57	SINOBUZ POPS汎用	
Danza Aestas	-	504	888	1519	-	520	883	1558	-	2:04	BISTROVER TRANSPORT汎用	
Dawn Saga	-	486	839	1378	-	485	838	1406	-	2:02	専用:shun yamaguchi	
DENIM	-	304	670	883	-	415	801	1043	-	1:17	9th TECHNO汎用	
Don't Stop The Music feat. Kanae Asaba	-	349	674	944	-	358	668	909	-	1:59	10th HOUSE汎用	
DUAL STRIKER	-	602	1277	1960	-	631	1270	1951	-	2:04	PENDUAL FUTURE汎用	
Empire of Fury	-	700	1110	1700	-	680	1088	1619	-	1:58	専用:alo	
Euphoric Lagoon	-	448	815	1312	-	449	790	1309	-	2:07	専用:BEMANI Designers "KINRUI"	
Explorer feat. ぷにぷに電機	-	382	661	1082	1461	471	713	1001	1438	2:00	専用:BEMANI Designers "NAGI"	
Farewell to Marrakech	-	466	786	1162	-	506	853	1279	-	2:05	専用:nokir	
Fire Beat	-	567	935	1392	-	492	961	1488	-	2:02	Resort Anthem DANCE汎用	
Frisk And Squeak	-	407	801	1228	-	428	811	1230	-	2:00	専用:alo	
GIGA RAID	-	493	951	1222	-	501	924	1356	-	2:02	Rootage TECHNO汎用	
Globe Glitter	-	538	849	1369	-	547	860	1351	-	1:59	CANNON BALLERS RACING汎用	
Here We Are	202	549	872	1249	-	544	839	1226	-	2:06	専用:Routes	
HIGH VOLTAGE	-	421	730	1148	-	420	724	1191	-	2:03	Rootage CYBER汎用+レイヤー	BEMANI Designers "9-sphere"
Ignis†Iræ	-	558	1243	1970	-	571	1219	1968	-	2:09	専用:BEMANI Designers "over the mountain"	
IIDX RED Ending (Ryu☆Remix)	-	327	607	938	-	384	697	1019	-	1:54	専用:BEMANI Designers "HES"	
innocent revolver	-	570	1197	1990	-	574	1232	1964	-	2:06	copula TRANSPORT汎用+ミスレイヤー	BEMANI Designers "猫味蕎麦"
Jungle Eater	-	513	935	1517	-	529	930	1547	-	2:00	専用:BEMANI Designers "猫味蕎麦"	
LAST DAY	-	578	887	1551	-	631	878	1545	-	2:00	Lincle CYBER汎用	
Level 3	-	592	1174	1844	-	607	1170	1845	-	2:01	BISTROVER METAL汎用	
LOCUS OF THE TRAVEL	-	561	1297	1920	-	563	1286	1936	-	2:03	専用:BEMANI Designers "GOLI"	
Lovely Howdy Cowboy!!	-	550	946	1405	-	539	947	1373	-	1:58	SINOBUZ POPS汎用+レイヤー	BEMANI Designers "球Q"
MA・TSU・RI	-	555	948	1302	-	538	963	1224	-	1:53	copula JAPANESQUE汎用	
MEGAERA	-	746	1112	1790	-	741	1065	1810	-	2:02	専用+レイヤー	BEMANI Designers "NAGI"
Midnight Drive	-	308	675	1016	-	319	653	968	-	1:59	10th HOUSE汎用	
MOVE! (We Keep It Movin')	-	387	694	1111	-	371	666	1111	-	2:06	CANNON BALLERS RACING汎用	
Neo Heritage	-	481	851	1454	-	472	851	1428	-	2:00	BISTROVER METAL汎用	
